Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code
Mgmt_1,CROPLAND,Mgmt_1,1982,,,,,,,1
Mgmt_2,CROPLAND,Mgmt_2,1982,,,,,,,1
Mgmt_3,CROPLAND,Mgmt_3,1982,,,,,,,1
Mgmt_4,CROPLAND,Mgmt_4,1982,,,,,,,1
Mgmt_5,CROPLAND,Mgmt_5,1982,,,,,,,1
Mgmt_6,CROPLAND,Mgmt_6,1982,,,,,,,1
Mgmt_7,CROPLAND,Mgmt_7,1982,,,,,,,1
Mgmt_8,CROPLAND,Mgmt_8,1982,,,,,,,1
Mgmt_9,CROPLAND,Mgmt_9,1982,,,,,,,1
Mgmt_10,CROPLAND,Mgmt_10,1982,,,,,,,1
Mgmt_11,CROPLAND,Mgmt_11,1982,,,,,,,1
Mgmt_12,CROPLAND,Mgmt_12,1982,,,,,,,1
Mgmt_13,CROPLAND,Mgmt_13,1982,,,,,,,1
Mgmt_14,CROPLAND,Mgmt_14,1982,,,,,,,1
Mgmt_15,CROPLAND,Mgmt_15,1982,,,,,,,1
Mgmt_16,CROPLAND,Mgmt_16,1982,,,,,,,1
Mgmt_17,CROPLAND,Mgmt_17,1982,,,,,,,1
Mgmt_18,CROPLAND,Mgmt_18,1982,,,,,,,1
Mgmt_19,CROPLAND,Mgmt_19,1982,,,,,,,1
Mgmt_20,CROPLAND,Mgmt_20,1982,,,,,,,1
Mgmt_21,CROPLAND,Mgmt_21,1982,,,,,,,1
Mgmt_22,CROPLAND,Mgmt_22,1982,,,,,,,1
Mgmt_23,CROPLAND,Mgmt_23,1982,,,,,,,1
Mgmt_24,CROPLAND,Mgmt_24,1982,,,,,,,1
Mgmt_25,CROPLAND,Mgmt_25,1982,,,,,,,1
Mgmt_26,CROPLAND,Mgmt_26,1982,,,,,,,1
Mgmt_27,CROPLAND,Mgmt_27,1982,,,,,,,1
Mgmt_28,CROPLAND,Mgmt_28,1982,,,,,,,1
Mgmt_29,CROPLAND,Mgmt_29,1982,,,,,,,1
Mgmt_30,CROPLAND,Mgmt_30,1982,,,,,,,1
Mgmt_31,CROPLAND,Mgmt_31,1982,,,,,,,1
Mgmt_32,CROPLAND,Mgmt_32,1982,,,,,,,1
Mgmt_33,CROPLAND,Mgmt_33,1982,,,,,,,1
Mgmt_34,CROPLAND,Mgmt_34,1982,,,,,,,1
Mgmt_35,CROPLAND,Mgmt_35,1982,,,,,,,1
Mgmt_36,CROPLAND,Mgmt_36,1982,,,,,,,1
Mgmt_37,CROPLAND,Mgmt_37,1982,,,,,,,1
Mgmt_38,CROPLAND,Mgmt_38,1982,,,,,,,1
Mgmt_39,CROPLAND,Mgmt_39,1982,,,,,,,1
Mgmt_40,CROPLAND,Mgmt_40,1982,,,,,,,1
Mgmt_41,CROPLAND,Mgmt_41,1982,,,,,,,1
Mgmt_42,CROPLAND,Mgmt_42,1982,,,,,,,1
Mgmt_43,CROPLAND,Mgmt_43,1982,,,,,,,1
Mgmt_44,CROPLAND,Mgmt_44,1982,,,,,,,1
Mgmt_45,CROPLAND,Mgmt_45,1982,,,,,,,1
Mgmt_46,CROPLAND,Mgmt_46,1982,,,,,,,1
Mgmt_47,CROPLAND,Mgmt_47,1982,,,,,,,1
Mgmt_48,CROPLAND,Mgmt_48,1982,,,,,,,1
Mgmt_49,CROPLAND,Mgmt_49,1982,,,,,,,1
Mgmt_50,CROPLAND,Mgmt_50,1982,,,,,,,1
Mgmt_51,CROPLAND,Mgmt_51,1982,,,,,,,1
Mgmt_52,CROPLAND,Mgmt_52,1982,,,,,,,1
Mgmt_53,CROPLAND,Mgmt_53,1982,,,,,,,1
Mgmt_54,CROPLAND,Mgmt_54,1982,,,,,,,1
Mgmt_55,CROPLAND,Mgmt_55,1982,,,,,,,1
Mgmt_56,CROPLAND,Mgmt_56,1982,,,,,,,1
Mgmt_57,CROPLAND,Mgmt_57,1982,,,,,,,1
Mgmt_58,CROPLAND,Mgmt_58,1982,,,,,,,1
Mgmt_59,CROPLAND,Mgmt_59,1982,,,,,,,1
Mgmt_60,CROPLAND,Mgmt_60,1982,,,,,,,1
Mgmt_61,CROPLAND,Mgmt_61,1982,,,,,,,1
Mgmt_62,CROPLAND,Mgmt_62,1982,,,,,,,1
Mgmt_63,CROPLAND,Mgmt_63,1982,,,,,,,1
Mgmt_64,CROPLAND,Mgmt_64,1982,,,,,,,1
Mgmt_65,CROPLAND,Mgmt_65,1982,,,,,,,1
Mgmt_66,CROPLAND,Mgmt_66,1982,,,,,,,1
Mgmt_67,CROPLAND,Mgmt_67,1982,,,,,,,1
Mgmt_68,CROPLAND,Mgmt_68,1982,,,,,,,1
Mgmt_69,CROPLAND,Mgmt_69,1982,,,,,,,1
Mgmt_70,CROPLAND,Mgmt_70,1982,,,,,,,1
Mgmt_71,CROPLAND,Mgmt_71,1982,,,,,,,1
Mgmt_72,CROPLAND,Mgmt_72,1982,,,,,,,1
Mgmt_73,CROPLAND,Mgmt_73,1982,,,,,,,1
Mgmt_74,CROPLAND,Mgmt_74,1982,,,,,,,1
Mgmt_75,CROPLAND,Mgmt_75,1982,,,,,,,1
Mgmt_76,CROPLAND,Mgmt_76,1982,,,,,,,1
Mgmt_77,CROPLAND,Mgmt_77,1982,,,,,,,1
Mgmt_78,CROPLAND,Mgmt_78,1982,,,,,,,1
Mgmt_79,CROPLAND,Mgmt_79,1982,,,,,,,1
Mgmt_80,CROPLAND,Mgmt_80,1982,,,,,,,1
Mgmt_81,CROPLAND,Mgmt_81,1982,,,,,,,1
Mgmt_82,CROPLAND,Mgmt_82,1982,,,,,,,1
Mgmt_83,CROPLAND,Mgmt_83,1982,,,,,,,1
Mgmt_84,CROPLAND,Mgmt_84,1982,,,,,,,1
Mgmt_85,CROPLAND,Mgmt_85,1982,,,,,,,1
Mgmt_86,CROPLAND,Mgmt_86,1982,,,,,,,1
Mgmt_87,CROPLAND,Mgmt_87,1982,,,,,,,1
Mgmt_88,CROPLAND,Mgmt_88,1982,,,,,,,1
Mgmt_89,CROPLAND,Mgmt_89,1982,,,,,,,1
Mgmt_90,CROPLAND,Mgmt_90,1982,,,,,,,1
Mgmt_91,CROPLAND,Mgmt_91,1982,,,,,,,1
Mgmt_92,CROPLAND,Mgmt_92,1982,,,,,,,1
Mgmt_93,CROPLAND,Mgmt_93,1982,,,,,,,1
Mgmt_94,CROPLAND,Mgmt_94,1982,,,,,,,1
Mgmt_95,CROPLAND,Mgmt_95,1982,,,,,,,1
Mgmt_96,CROPLAND,Mgmt_96,1982,,,,,,,1
Mgmt_97,CROPLAND,Mgmt_97,1982,,,,,,,1
Mgmt_98,CROPLAND,Mgmt_98,1982,,,,,,,1
Mgmt_99,CROPLAND,Mgmt_99,1982,,,,,,,1
Mgmt_100,CROPLAND,Mgmt_100,1982,,,,,,,1
Mgmt_101,CROPLAND,Mgmt_101,1982,,,,,,,1
Mgmt_102,CROPLAND,Mgmt_102,1982,,,,,,,1
Mgmt_103,CROPLAND,Mgmt_103,1982,,,,,,,1
Mgmt_104,CROPLAND,Mgmt_104,1982,,,,,,,1
Mgmt_105,CROPLAND,Mgmt_105,1982,,,,,,,1
Mgmt_106,CROPLAND,Mgmt_106,1982,,,,,,,1
Mgmt_107,CROPLAND,Mgmt_107,1982,,,,,,,1
Mgmt_108,CROPLAND,Mgmt_108,1982,,,,,,,1
Mgmt_109,CROPLAND,Mgmt_109,1982,,,,,,,1
Mgmt_110,CROPLAND,Mgmt_110,1982,,,,,,,1
Mgmt_111,CROPLAND,Mgmt_111,1982,,,,,,,1
Mgmt_112,CROPLAND,Mgmt_112,1982,,,,,,,1
Mgmt_113,CROPLAND,Mgmt_113,1982,,,,,,,1
Mgmt_114,CROPLAND,Mgmt_114,1982,,,,,,,1
Mgmt_115,CROPLAND,Mgmt_115,1982,,,,,,,1
Mgmt_116,CROPLAND,Mgmt_116,1982,,,,,,,1
Mgmt_117,CROPLAND,Mgmt_117,1982,,,,,,,1
Mgmt_118,CROPLAND,Mgmt_118,1982,,,,,,,1
Mgmt_119,CROPLAND,Mgmt_119,1982,,,,,,,1
Mgmt_120,CROPLAND,Mgmt_120,1982,,,,,,,1
Mgmt_121,CROPLAND,Mgmt_121,1982,,,,,,,1
Mgmt_122,CROPLAND,Mgmt_122,1982,,,,,,,1
Mgmt_123,CROPLAND,Mgmt_123,1982,,,,,,,1
Mgmt_124,CROPLAND,Mgmt_124,1982,,,,,,,1
Mgmt_125,CROPLAND,Mgmt_125,1982,,,,,,,1
Mgmt_126,CROPLAND,Mgmt_126,1982,,,,,,,1
Mgmt_127,CROPLAND,Mgmt_127,1982,,,,,,,1
Mgmt_128,CROPLAND,Mgmt_128,1982,,,,,,,1
Mgmt_129,CROPLAND,Mgmt_129,1982,,,,,,,1
Mgmt_130,CROPLAND,Mgmt_130,1982,,,,,,,1
Mgmt_131,CROPLAND,Mgmt_131,1982,,,,,,,1
Mgmt_132,CROPLAND,Mgmt_132,1982,,,,,,,1
Mgmt_133,CROPLAND,Mgmt_133,1982,,,,,,,1
Mgmt_134,CROPLAND,Mgmt_134,1982,,,,,,,1
Mgmt_135,CROPLAND,Mgmt_135,1982,,,,,,,1
Mgmt_136,CROPLAND,Mgmt_136,1982,,,,,,,1
Mgmt_137,CROPLAND,Mgmt_137,1982,,,,,,,1
Mgmt_138,CROPLAND,Mgmt_138,1982,,,,,,,1
Mgmt_139,CROPLAND,Mgmt_139,1982,,,,,,,1
Mgmt_140,CROPLAND,Mgmt_140,1982,,,,,,,1
Mgmt_141,CROPLAND,Mgmt_141,1982,,,,,,,1
Mgmt_142,CROPLAND,Mgmt_142,1982,,,,,,,1
Mgmt_143,CROPLAND,Mgmt_143,1982,,,,,,,1
Mgmt_144,CROPLAND,Mgmt_144,1982,,,,,,,1
Mgmt_145,CROPLAND,Mgmt_145,1982,,,,,,,1
Mgmt_146,CROPLAND,Mgmt_146,1982,,,,,,,1
Mgmt_147,CROPLAND,Mgmt_147,1982,,,,,,,1
Mgmt_148,CROPLAND,Mgmt_148,1982,,,,,,,1
Mgmt_149,CROPLAND,Mgmt_149,1982,,,,,,,1
Mgmt_150,CROPLAND,Mgmt_150,1982,,,,,,,1
Mgmt_151,CROPLAND,Mgmt_151,1982,,,,,,,1
Mgmt_152,CROPLAND,Mgmt_152,1982,,,,,,,1
Mgmt_153,CROPLAND,Mgmt_153,1982,,,,,,,1
Mgmt_154,CROPLAND,Mgmt_154,1982,,,,,,,1
Mgmt_155,CROPLAND,Mgmt_155,1982,,,,,,,1
Mgmt_156,CROPLAND,Mgmt_156,1982,,,,,,,1
Mgmt_157,CROPLAND,Mgmt_157,1982,,,,,,,1
Mgmt_158,CROPLAND,Mgmt_158,1982,,,,,,,1
Mgmt_159,CROPLAND,Mgmt_159,1982,,,,,,,1
Mgmt_160,CROPLAND,Mgmt_160,1982,,,,,,,1
Mgmt_161,CROPLAND,Mgmt_161,1982,,,,,,,1
Mgmt_162,CROPLAND,Mgmt_162,1982,,,,,,,1
Mgmt_163,CROPLAND,Mgmt_163,1982,,,,,,,1
Mgmt_164,CROPLAND,Mgmt_164,1982,,,,,,,1
Mgmt_165,CROPLAND,Mgmt_165,1982,,,,,,,1
Mgmt_166,CROPLAND,Mgmt_166,1982,,,,,,,1
Mgmt_167,CROPLAND,Mgmt_167,1982,,,,,,,1
Mgmt_168,CROPLAND,Mgmt_168,1982,,,,,,,1
Mgmt_169,CROPLAND,Mgmt_169,1982,,,,,,,1
Mgmt_170,CROPLAND,Mgmt_170,1982,,,,,,,1
Mgmt_171,CROPLAND,Mgmt_171,1982,,,,,,,1
Mgmt_172,CROPLAND,Mgmt_172,1982,,,,,,,1
Mgmt_173,CROPLAND,Mgmt_173,1982,,,,,,,1
Mgmt_174,CROPLAND,Mgmt_174,1982,,,,,,,1
Mgmt_175,CROPLAND,Mgmt_175,1982,,,,,,,1
Mgmt_176,CROPLAND,Mgmt_176,1982,,,,,,,1
Mgmt_177,CROPLAND,Mgmt_177,1982,,,,,,,1
Mgmt_178,CROPLAND,Mgmt_178,1982,,,,,,,1
Mgmt_179,CROPLAND,Mgmt_179,1982,,,,,,,1
Mgmt_180,CROPLAND,Mgmt_180,1982,,,,,,,1
Mgmt_181,CROPLAND,Mgmt_181,1982,,,,,,,1
Mgmt_182,CROPLAND,Mgmt_182,1982,,,,,,,1
Mgmt_183,CROPLAND,Mgmt_183,1982,,,,,,,1
Mgmt_184,CROPLAND,Mgmt_184,1982,,,,,,,1
Mgmt_185,CROPLAND,Mgmt_185,1982,,,,,,,1
Mgmt_186,CROPLAND,Mgmt_186,1982,,,,,,,1
Mgmt_187,CROPLAND,Mgmt_187,1982,,,,,,,1
Mgmt_188,CROPLAND,Mgmt_188,1982,,,,,,,1
Mgmt_189,CROPLAND,Mgmt_189,1982,,,,,,,1
Mgmt_190,CROPLAND,Mgmt_190,1982,,,,,,,1
Mgmt_191,CROPLAND,Mgmt_191,1982,,,,,,,1
Mgmt_192,CROPLAND,Mgmt_192,1982,,,,,,,1
Mgmt_193,CROPLAND,Mgmt_193,1982,,,,,,,1
Mgmt_194,CROPLAND,Mgmt_194,1982,,,,,,,1
Mgmt_195,CROPLAND,Mgmt_195,1982,,,,,,,1
Mgmt_196,CROPLAND,Mgmt_196,1982,,,,,,,1
Mgmt_197,CROPLAND,Mgmt_197,1982,,,,,,,1
Mgmt_198,CROPLAND,Mgmt_198,1982,,,,,,,1
Mgmt_199,CROPLAND,Mgmt_199,1982,,,,,,,1
Mgmt_200,CROPLAND,Mgmt_200,1982,,,,,,,1
Mgmt_201,CROPLAND,Mgmt_201,1982,,,,,,,1
Mgmt_202,CROPLAND,Mgmt_202,1982,,,,,,,1
Mgmt_203,CROPLAND,Mgmt_203,1982,,,,,,,1
Mgmt_204,CROPLAND,Mgmt_204,1982,,,,,,,1
Mgmt_205,CROPLAND,Mgmt_205,1982,,,,,,,1
Mgmt_206,CROPLAND,Mgmt_206,1982,,,,,,,1
Mgmt_207,CROPLAND,Mgmt_207,1982,,,,,,,1
Mgmt_208,CROPLAND,Mgmt_208,1982,,,,,,,1
Mgmt_209,CROPLAND,Mgmt_209,1982,,,,,,,1
Mgmt_210,CROPLAND,Mgmt_210,1982,,,,,,,1
Mgmt_211,CROPLAND,Mgmt_211,1982,,,,,,,1
Mgmt_212,CROPLAND,Mgmt_212,1982,,,,,,,1
Mgmt_213,CROPLAND,Mgmt_213,1982,,,,,,,1
Mgmt_214,CROPLAND,Mgmt_214,1982,,,,,,,1
Mgmt_215,CROPLAND,Mgmt_215,1982,,,,,,,1
Mgmt_216,CROPLAND,Mgmt_216,1982,,,,,,,1
Mgmt_217,CROPLAND,Mgmt_217,1982,,,,,,,1
Mgmt_218,CROPLAND,Mgmt_218,1982,,,,,,,1
Mgmt_219,CROPLAND,Mgmt_219,1982,,,,,,,1
Mgmt_220,CROPLAND,Mgmt_220,1982,,,,,,,1
Mgmt_221,CROPLAND,Mgmt_221,1982,,,,,,,1
Mgmt_222,CROPLAND,Mgmt_222,1982,,,,,,,1
Mgmt_223,CROPLAND,Mgmt_223,1982,,,,,,,1
Mgmt_224,CROPLAND,Mgmt_224,1982,,,,,,,1
Mgmt_225,CROPLAND,Mgmt_225,1982,,,,,,,1
Mgmt_226,CROPLAND,Mgmt_226,1982,,,,,,,1
Mgmt_227,CROPLAND,Mgmt_227,1982,,,,,,,1
Mgmt_228,CROPLAND,Mgmt_228,1982,,,,,,,1
Mgmt_229,CROPLAND,Mgmt_229,1982,,,,,,,1
Mgmt_230,CROPLAND,Mgmt_230,1982,,,,,,,1
Mgmt_231,CROPLAND,Mgmt_231,1982,,,,,,,1
Mgmt_232,CROPLAND,Mgmt_232,1982,,,,,,,1
Mgmt_233,CROPLAND,Mgmt_233,1982,,,,,,,1
Mgmt_234,CROPLAND,Mgmt_234,1982,,,,,,,1
